"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"2681","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2682","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2683","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2684","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2685","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2686","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2687","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2688","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2689","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2690","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2691","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2692","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2693","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2694","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2695","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2696","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2697","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2698","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2699","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2700","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2701","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2702","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2703","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2704","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2705","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2706","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2707","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2708","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2709","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2710","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2711","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2712","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2713","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2714","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2715","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2716","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2717","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2718","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2719","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2720","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2721","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2722","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2723","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2724","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2725","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2726","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2727","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2728","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2729","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2730","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2731","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2732","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2733","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2734","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2735","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2736","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2737","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2738","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2739","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2740","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2741","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2742","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2743","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2744","1210-SW",885,"meters",-114.774429,52.939247,TRUE
